Date,Open,High,Low,Close,Volume2025-01-02,191.48500061035156,193.1999969482422,188.7100067138672,190.6300048828125,17545200
2025-01-03,192.72500610351562,194.5,191.35000610351562,193.1300048828125,12875000
2025-01-06,195.14999389648438,199.55999755859375,195.05999755859375,197.9600067138672,19483300
2025-01-07,198.27000427246094,202.13999938964844,195.94000244140625,196.7100067138672,16966800
2025-01-08,193.9499969482422,197.63999938964844,193.75,195.38999938964844,14335300
2025-01-10,195.4199981689453,197.6199951171875,191.60000610351562,193.1699981689453,20753800
2025-01-13,191.35000610351562,192.49000549316406,188.66000366210938,192.2899932861328,13169100
2025-01-14,192.5,193.27000427246094,189.63999938964844,191.0500030517578,13651200
2025-01-15,194.35000610351562,197.8000030517578,193.3300018310547,196.97999572753906,12894900
2025-01-16,195.8249969482422,196.97999572753906,194.3000030517578,194.41000366210938,13449600
2025-01-17,198.0500030517578,198.80999755859375,195.30999755859375,197.5500030517578,22109100
2025-01-21,200.50999450683594,203.83999633789062,199.44000244140625,199.6300048828125,19005200
2025-01-22,200.5500030517578,202.1199951171875,199.1999969482422,200.02999877929688,15477400
2025-01-23,199.97999572753906,201.94000244140625,196.82000732421875,199.5800018310547,15170800
2025-01-24,199.85000610351562,202.57000732421875,199.78399658203125,201.89999389648438,12732400
2025-01-27,194.19000244140625,198.6699981689453,192.6999969482422,193.77000427246094,24970200
2025-01-28,194.64999389648438,197.22999572753906,192.61000061035156,197.07000732421875,15939200
2025-01-29,197.3699951171875,198.4600067138672,195.19000244140625,197.17999267578125,12287800
2025-01-30,199.75999450683594,203.23800659179688,199.4720001220703,202.6300048828125,14571500
2025-01-31,203.71499633789062,207.0800018310547,203.5800018310547,205.60000610351562,17087300
2025-02-03,202.21499633789062,205.22000122070312,201.66000366210938,202.63999938964844,16719500
2025-02-04,204.5,208.6999969482422,204.25999450683594,207.7100067138672,28285400
2025-02-05,193.10000610351562,194.5500030517578,189.91000366210938,193.3000030517578,43666400
2025-02-06,190.99000549316406,193.8300018310547,190.49000549316406,193.30999755859375,20816600
2025-02-07,192.74000549316406,193.01499938964844,185.10000610351562,187.13999938964844,29565700
2025-02-10,189.05999755859375,189.99000549316406,187.61000061035156,188.1999969482422,16606000
2025-02-11,186.8350067138672,188.8000030517578,186.0800018310547,187.07000732421875,13028100
2025-02-12,185.22999572753906,186.8300018310547,183.6300048828125,185.42999267578125,17632300
2025-02-13,185.92999267578125,187.99000549316406,184.8800048828125,187.8800048828125,12729300
2025-02-14,186.8300018310547,188.14999389648438,186.11000061035156,186.8699951171875,12714200
2025-02-18,187.44000244140625,187.77999877929688,183.5800018310547,185.8000030517578,19796000
2025-02-19,186.18499755859375,187.36000061035156,185.5,187.1300048828125,13120500
2025-02-20,186.5,187.1199951171875,184.60000610351562,186.63999938964844,12063800
2025-02-21,187.2899932861328,187.47000122070312,181.1300048828125,181.5800018310547,19520800
2025-02-24,183.8000030517578,185.08999633789062,180.8800048828125,181.19000244140625,18734000
2025-02-25,180.15499877929688,180.75999450683594,176.77000427246094,177.3699951171875,20832500
2025-02-26,176.94500732421875,178.0800018310547,173.58999633789062,174.6999969482422,23637200
2025-02-27,175.94000244140625,176.58999633789062,169.7519989013672,170.2100067138672,25930500
2025-02-28,170.3000030517578,172.5,168.38999938964844,172.22000122070312,30049800
2025-03-03,173.72999572753906,175.0,167.63999938964844,168.66000366210938,24122000
2025-03-04,167.94000244140625,175.1649932861328,167.5399932861328,172.61000061035156,30711400
2025-03-05,172.32000732421875,175.75,170.92999267578125,174.99000549316406,18848000
2025-03-06,172.5500030517578,176.72999572753906,172.50799560546875,174.2100067138672,19082400
2025-03-07,173.24200439453125,176.89999389648438,172.25,175.75,16395300
2025-03-10,170.16000366210938,170.4499969482422,165.56500244140625,167.80999755859375,28990700
2025-03-11,166.67999267578125,168.65499877929688,163.24000549316406,165.97999572753906,23705900
2025-03-12,168.47000122070312,169.52999877929688,165.47999572753906,169.0,19880100
2025-03-13,167.97999572753906,168.1199951171875,164.07000732421875,164.72999572753906,15206200
2025-03-14,165.31500244140625,168.25,164.50999450683594,167.6199951171875,18592900
