Date,Open,High,Low,Close,Volume2025-01-02,131.8699951171875,134.22999572753906,130.41000366210938,131.47999572753906,2605800
2025-01-03,131.97999572753906,136.36000061035156,131.94000244140625,135.7100067138672,3606900
2025-01-06,137.0,138.10000610351562,134.5800018310547,135.1999969482422,4174500
2025-01-07,135.35000610351562,136.76499938964844,130.80999755859375,131.2899932861328,4290500
2025-01-08,131.1999969482422,131.6300048828125,130.10000610351562,130.8000030517578,3204700
2025-01-10,131.3000030517578,133.0500030517578,128.8000030517578,129.6300048828125,4325400
2025-01-13,128.5850067138672,130.1300048828125,128.08299255371094,128.85000610351562,3510600
2025-01-14,129.82000732421875,131.10000610351562,127.16999816894531,127.5999984741211,3998900
2025-01-15,130.19000244140625,133.14999389648438,130.16000366210938,132.52000427246094,3732900
2025-01-16,132.0,132.9499969482422,129.82000732421875,132.16000366210938,2904800
2025-01-17,134.1699981689453,135.6199951171875,132.69000244140625,135.1199951171875,3751200
2025-01-21,135.47000122070312,135.63999938964844,131.24000549316406,133.07000732421875,5396800
2025-01-22,133.0,135.0,132.33999633789062,132.5,5028500
2025-01-23,132.39999389648438,133.63999938964844,131.77499389648438,133.24000549316406,3967800
2025-01-24,132.61000061035156,132.72000122070312,126.72000122070312,127.08999633789062,6966900
2025-01-27,125.94000244140625,129.05999755859375,125.63999938964844,128.9600067138672,4807000
2025-01-28,128.6699981689453,131.4199981689453,126.86000061035156,131.0500030517578,5929900
2025-01-29,131.4199981689453,134.0500030517578,130.88999938964844,132.5800018310547,3627500
2025-01-30,133.55999755859375,134.37100219726562,130.85000610351562,131.7899932861328,2440500
2025-01-31,132.27999877929688,134.4499969482422,130.57000732421875,131.1699981689453,3046700
2025-02-03,129.19000244140625,130.9550018310547,127.51499938964844,129.77999877929688,2745000
2025-02-04,129.5800018310547,131.49000549316406,129.0800018310547,130.74000549316406,2687200
2025-02-05,130.27000427246094,130.33999633789062,128.10000610351562,129.60000610351562,3000700
2025-02-06,130.16000366210938,133.19000244140625,130.14999389648438,132.57000732421875,3704400
2025-02-07,134.6999969482422,139.5,133.906005859375,134.97999572753906,5933200
2025-02-10,136.3000030517578,136.36000061035156,133.16000366210938,135.24000549316406,4760100
2025-02-11,134.91000366210938,136.25,134.08999633789062,134.52000427246094,4043000
2025-02-12,133.07000732421875,141.1999969482422,132.7899932861328,140.52000427246094,6147200
2025-02-13,139.63999938964844,141.94000244140625,138.75999450683594,141.0399932861328,12745300
2025-02-14,158.18499755859375,163.92999267578125,156.92999267578125,161.4199981689453,21649300
2025-02-18,161.0399932861328,162.5760040283203,158.07000732421875,160.60000610351562,8144500
2025-02-19,160.0,160.0,155.2100067138672,157.97999572753906,6906100
2025-02-20,156.32000732421875,157.75,152.47000122070312,155.30999755859375,5099700
2025-02-21,154.56500244140625,154.56500244140625,145.75,146.07000732421875,7356400
2025-02-24,147.0,147.07000732421875,143.8800048828125,144.82000732421875,4478900
2025-02-25,144.78500366210938,145.16000366210938,140.39999389648438,141.5500030517578,6189200
2025-02-26,143.16000366210938,145.1300048828125,142.22000122070312,144.02999877929688,2909400
2025-02-27,144.6300048828125,145.69000244140625,139.0500030517578,139.4499969482422,4411800
2025-02-28,139.5,140.16000366210938,137.58999633789062,138.8699951171875,6253100
2025-03-03,140.33999633789062,144.75,139.9010009765625,140.97999572753906,6688900
2025-03-04,139.9949951171875,143.22999572753906,137.82000732421875,141.4199981689453,4799500
2025-03-05,141.8699951171875,142.7899932861328,139.2100067138672,142.5800018310547,3881600
2025-03-06,140.3249969482422,140.3249969482422,134.61000061035156,134.77000427246094,5924300
2025-03-07,134.7100067138672,134.72999572753906,130.3699951171875,134.38999938964844,5616600
2025-03-10,134.57000732421875,135.94000244140625,130.1999969482422,132.14999389648438,7493000
2025-03-11,129.97999572753906,130.7689971923828,123.69999694824219,125.44000244140625,9318400
2025-03-12,127.0,127.4800033569336,123.53099822998047,126.55000305175781,4834100
2025-03-13,124.98999786376953,126.22000122070312,119.1500015258789,119.37999725341797,7669700
2025-03-14,121.87999725341797,124.44999694824219,121.56999969482422,122.86000061035156,4415200
