Date,Open,High,Low,Close,Volume2025-01-02,425.5299987792969,426.07000732421875,414.8500061035156,418.5799865722656,16896500
2025-01-03,421.0799865722656,424.0299987792969,419.5400085449219,423.3500061035156,16662900
2025-01-06,428.0,434.32000732421875,425.4800109863281,427.8500061035156,20573600
2025-01-07,429.0,430.6499938964844,420.79998779296875,422.3699951171875,18139100
2025-01-08,423.4599914550781,426.9700012207031,421.5400085449219,424.55999755859375,15054600
2025-01-10,424.6300048828125,424.7099914550781,415.0199890136719,418.95001220703125,20201100
2025-01-13,415.239990234375,418.5,412.2900085449219,417.19000244140625,17604800
2025-01-14,417.80999755859375,419.739990234375,410.7200012207031,415.6700134277344,16935900
2025-01-15,419.1300048828125,428.1499938964844,418.2699890136719,426.30999755859375,19637800
2025-01-16,428.70001220703125,429.489990234375,424.3900146484375,424.5799865722656,15300000
2025-01-17,434.0899963378906,434.4800109863281,428.1700134277344,429.0299987792969,26197500
2025-01-21,430.20001220703125,430.8999938964844,425.6000061035156,428.5,26085700
2025-01-22,437.55999755859375,447.2699890136719,436.0,446.20001220703125,27803800
2025-01-23,442.0,446.75,441.5,446.7099914550781,18389300
2025-01-24,445.1600036621094,446.6499938964844,441.3999938964844,444.05999755859375,15549500
2025-01-27,424.010009765625,435.20001220703125,423.5,434.55999755859375,35647800
2025-01-28,434.6000061035156,448.3800048828125,431.3800048828125,447.20001220703125,23491700
2025-01-29,446.69000244140625,446.8800048828125,440.3999938964844,442.3299865722656,23581400
2025-01-30,418.7699890136719,422.8599853515625,413.1600036621094,414.989990234375,54586300
2025-01-31,418.9800109863281,420.69000244140625,414.9100036621094,415.05999755859375,34223400
2025-02-03,411.6000061035156,415.4100036621094,408.6600036621094,410.9200134277344,25679100
2025-02-04,412.69000244140625,413.9200134277344,409.739990234375,412.3699951171875,20532100
2025-02-05,412.3500061035156,413.8299865722656,410.3999938964844,413.2900085449219,16316700
2025-02-06,414.0,418.20001220703125,414.0,415.82000732421875,16309800
2025-02-07,416.4800109863281,418.6499938964844,408.1000061035156,409.75,22886800
2025-02-10,413.7099914550781,415.4599914550781,410.9200134277344,412.2200012207031,20817900
2025-02-11,409.6400146484375,412.489990234375,409.29998779296875,411.44000244140625,18140600
2025-02-12,407.2099914550781,410.75,404.3699951171875,409.0400085449219,19121700
2025-02-13,407.0,411.0,406.3599853515625,410.5400085449219,23891700
2025-02-14,407.7900085449219,408.9100036621094,405.8800048828125,408.42999267578125,22758500
2025-02-18,408.0,410.6000061035156,406.5,409.6400146484375,21423100
2025-02-19,407.8800048828125,415.489990234375,407.6499938964844,414.7699890136719,24114200
2025-02-20,415.2900085449219,419.30999755859375,412.5400085449219,416.1300048828125,23508700
2025-02-21,417.3399963378906,418.04998779296875,407.8900146484375,408.2099914550781,27524800
2025-02-24,408.510009765625,409.3699951171875,399.32000732421875,404.0,26443700
2025-02-25,401.1000061035156,401.9200134277344,396.70001220703125,397.8999938964844,29387400
2025-02-26,398.010009765625,403.6000061035156,394.25,399.7300109863281,19619000
2025-02-27,401.2699890136719,405.739990234375,392.1700134277344,392.5299987792969,21127400
2025-02-28,392.6600036621094,397.6300048828125,386.57000732421875,396.989990234375,32845700
2025-03-03,398.82000732421875,398.82000732421875,386.1600036621094,388.489990234375,23007700
2025-03-04,383.3999938964844,392.5799865722656,381.0,388.6099853515625,29342900
2025-03-05,389.3399963378906,401.6700134277344,388.80999755859375,401.0199890136719,23433100
2025-03-06,394.2799987792969,402.1499938964844,392.67999267578125,396.8900146484375,23304600
2025-03-07,392.32000732421875,394.79998779296875,385.5400085449219,393.30999755859375,22034100
2025-03-10,385.8399963378906,386.3999938964844,377.2200012207031,380.1600036621094,32840100
2025-03-11,379.0,386.0,376.9100036621094,380.45001220703125,30380200
2025-03-12,382.95001220703125,385.2200012207031,378.95001220703125,383.2699890136719,24253600
2025-03-13,383.1600036621094,385.32000732421875,377.45001220703125,378.7699890136719,20473000
2025-03-14,379.7799987792969,390.2300109863281,379.510009765625,388.55999755859375,19929300
